rank,mod_label,mod_type,max_clique,LP,ILP,gap,delta_vs_caoduro
268,lab_226,H_shrink_left,2,162.0000,106,1.528302,+0.000000
269,lab_226,H_shrink_right,2,162.0000,106,1.528302,+0.000000
270,lab_226,H_extend_right,2,162.0000,106,1.528302,+0.000000
271,lab_223,H_shrink_right,2,162.0000,106,1.528302,+0.000000
272,lab_228,H_extend_right,2,162.0000,106,1.528302,+0.000000
273,lab_229,H_shrink_right,2,162.0000,106,1.528302,+0.000000
274,lab_229,H_shrink_left,2,162.0000,106,1.528302,+0.000000
275,lab_229,H_extend_right,2,162.0000,106,1.528302,+0.000000
276,lab_231,H_extend_right,2,162.0000,106,1.528302,+0.000000
277,lab_232,H_shrink_right,2,162.0000,106,1.528302,+0.000000
278,lab_232,H_shrink_left,2,162.0000,106,1.528302,+0.000000
279,lab_234,H_extend_right,2,162.0000,106,1.528302,+0.000000
280,lab_237,H_extend_right,2,162.0000,106,1.528302,+0.000000
281,lab_232,H_extend_right,2,162.0000,106,1.528302,+0.000000
282,lab_238,H_shrink_left,2,162.0000,106,1.528302,+0.000000
283,lab_238,H_extend_right,2,162.0000,106,1.528302,+0.000000
284,lab_235,H_shrink_left,2,162.0000,106,1.528302,+0.000000
285,lab_235,H_shrink_right,2,162.0000,106,1.528302,+0.000000
286,lab_235,H_extend_right,2,162.0000,106,1.528302,+0.000000
287,lab_238,H_shrink_right,2,162.0000,106,1.528302,+0.000000
288,lab_240,H_extend_right,2,162.0000,106,1.528302,+0.000000
289,lab_241,H_shrink_left,2,162.0000,106,1.528302,+0.000000
290,lab_241,H_shrink_right,2,162.0000,106,1.528302,+0.000000
291,lab_243,H_extend_right,2,162.0000,106,1.528302,+0.000000
292,lab_244,H_shrink_right,2,162.0000,106,1.528302,+0.000000
293,lab_244,H_shrink_left,2,162.0000,106,1.528302,+0.000000
294,lab_244,H_extend_right,2,162.0000,106,1.528302,+0.000000
295,lab_241,H_extend_right,2,162.0000,106,1.528302,+0.000000
296,lab_246,H_extend_right,2,162.0000,106,1.528302,+0.000000
297,lab_249,H_extend_right,2,162.0000,106,1.528302,+0.000000
298,lab_247,H_shrink_right,2,162.0000,106,1.528302,+0.000000
299,lab_250,H_shrink_left,2,162.0000,106,1.528302,+0.000000
300,lab_247,H_shrink_left,2,162.0000,106,1.528302,+0.000000
301,lab_250,H_shrink_right,2,162.0000,106,1.528302,+0.000000
302,lab_250,H_extend_right,2,162.0000,106,1.528302,+0.000000
303,lab_247,H_extend_right,2,162.0000,106,1.528302,+0.000000
304,lab_252,H_extend_right,2,162.0000,106,1.528302,+0.000000
305,lab_253,H_extend_right,2,162.0000,106,1.528302,+0.000000
306,lab_255,H_extend_right,2,162.0000,106,1.528302,+0.000000
307,lab_253,H_shrink_right,2,162.0000,106,1.528302,+0.000000
308,lab_258,H_extend_right,2,162.0000,106,1.528302,+0.000000
309,lab_256,H_shrink_left,2,162.0000,106,1.528302,+0.000000
310,lab_259,H_shrink_left,2,162.0000,106,1.528302,+0.000000
311,lab_256,H_shrink_right,2,162.0000,106,1.528302,+0.000000
312,lab_256,H_extend_right,2,162.0000,106,1.528302,+0.000000
313,lab_259,H_extend_right,2,162.0000,106,1.528302,+0.000000
314,lab_261,H_extend_right,2,162.0000,106,1.528302,+0.000000
315,lab_262,H_shrink_right,2,162.0000,106,1.528302,+0.000000
316,lab_259,H_shrink_right,2,162.0000,106,1.528302,+0.000000
317,lab_262,H_shrink_left,2,162.0000,106,1.528302,+0.000000
318,lab_262,H_extend_right,2,162.0000,106,1.528302,+0.000000
319,lab_264,H_extend_right,2,162.0000,106,1.528302,+0.000000
320,lab_267,H_extend_right,2,162.0000,106,1.528302,+0.000000
321,lab_268,H_shrink_right,2,162.0000,106,1.528302,+0.000000
322,lab_268,H_shrink_left,2,162.0000,106,1.528302,+0.000000
323,lab_265,H_extend_right,2,162.0000,106,1.528302,+0.000000
324,lab_270,H_extend_right,2,162.0000,106,1.528302,+0.000000
325,lab_268,H_extend_right,2,162.0000,106,1.528302,+0.000000
326,lab_265,H_shrink_right,2,162.0000,106,1.528302,+0.000000
327,lab_271,H_shrink_left,2,162.0000,106,1.528302,+0.000000
328,lab_271,H_shrink_right,2,162.0000,106,1.528302,+0.000000
329,lab_271,H_extend_right,2,162.0000,106,1.528302,+0.000000
330,lab_273,H_extend_right,2,162.0000,106,1.528302,+0.000000
331,lab_276,H_extend_right,2,162.0000,106,1.528302,+0.000000
332,lab_274,H_extend_right,2,162.0000,106,1.528302,+0.000000
333,lab_274,H_shrink_right,2,162.0000,106,1.528302,+0.000000
334,lab_279,H_extend_right,2,162.0000,106,1.528302,+0.000000
335,lab_280,H_shrink_left,2,162.0000,106,1.528302,+0.000000
336,lab_277,H_shrink_right,2,162.0000,106,1.528302,+0.000000
337,lab_280,H_shrink_right,2,162.0000,106,1.528302,+0.000000
338,lab_277,H_extend_right,2,162.0000,106,1.528302,+0.000000
339,lab_277,H_shrink_left,2,162.0000,106,1.528302,+0.000000
340,lab_280,H_extend_right,2,162.0000,106,1.528302,+0.000000
341,lab_283,H_shrink_left,2,162.0000,106,1.528302,+0.000000
342,lab_282,H_extend_right,2,162.0000,106,1.528302,+0.000000
343,lab_283,H_shrink_right,2,162.0000,106,1.528302,+0.000000
344,lab_285,H_extend_right,2,162.0000,106,1.528302,+0.000000
345,lab_286,H_shrink_left,2,162.0000,106,1.528302,+0.000000
346,lab_283,H_extend_right,2,162.0000,106,1.528302,+0.000000
347,lab_286,H_shrink_right,2,162.0000,106,1.528302,+0.000000
348,lab_286,H_extend_right,2,162.0000,106,1.528302,+0.000000
349,lab_288,H_extend_right,2,162.0000,106,1.528302,+0.000000
350,lab_289,H_shrink_left,2,162.0000,106,1.528302,+0.000000
351,lab_291,H_extend_right,2,162.0000,106,1.528302,+0.000000
352,lab_289,H_shrink_right,2,162.0000,106,1.528302,+0.000000
353,lab_292,H_shrink_left,2,162.0000,106,1.528302,+0.000000
354,lab_292,H_extend_right,2,162.0000,106,1.528302,+0.000000
355,lab_294,H_extend_right,2,162.0000,106,1.528302,+0.000000
356,lab_289,H_extend_right,2,162.0000,106,1.528302,+0.000000
357,lab_295,H_shrink_right,2,162.0000,106,1.528302,+0.000000
358,lab_297,H_extend_right,2,162.0000,106,1.528302,+0.000000
359,lab_295,H_shrink_left,2,162.0000,106,1.528302,+0.000000
360,lab_295,H_extend_right,2,162.0000,106,1.528302,+0.000000
361,lab_300,H_extend_right,2,162.0000,106,1.528302,+0.000000
362,lab_301,H_shrink_left,2,162.0000,106,1.528302,+0.000000
363,lab_301,H_shrink_right,2,162.0000,106,1.528302,+0.000000
364,lab_298,H_extend_right,2,162.0000,106,1.528302,+0.000000
365,lab_301,H_extend_right,2,162.0000,106,1.528302,+0.000000
366,lab_298,H_shrink_right,2,162.0000,106,1.528302,+0.000000
367,lab_303,H_extend_right,2,162.0000,106,1.528302,+0.000000
368,lab_304,H_shrink_left,2,162.0000,106,1.528302,+0.000000
369,lab_307,H_shrink_left,2,162.0000,106,1.528302,+0.000000
370,lab_306,H_extend_right,2,162.0000,106,1.528302,+0.000000
371,lab_309,H_extend_right,2,162.0000,106,1.528302,+0.000000
372,lab_307,H_shrink_right,2,162.0000,106,1.528302,+0.000000
373,lab_307,H_extend_right,2,162.0000,106,1.528302,+0.000000
374,lab_310,H_shrink_right,2,162.0000,106,1.528302,+0.000000
375,lab_310,H_shrink_left,2,162.0000,106,1.528302,+0.000000
376,lab_312,H_extend_right,2,162.0000,106,1.528302,+0.000000
377,lab_310,H_extend_right,2,162.0000,106,1.528302,+0.000000
378,lab_313,H_shrink_right,2,162.0000,106,1.528302,+0.000000
379,lab_313,H_extend_right,2,162.0000,106,1.528302,+0.000000
380,lab_315,H_extend_right,2,162.0000,106,1.528302,+0.000000
381,lab_316,H_shrink_left,2,162.0000,106,1.528302,+0.000000
382,lab_316,H_extend_right,2,162.0000,106,1.528302,+0.000000
383,lab_318,H_extend_right,2,162.0000,106,1.528302,+0.000000
